epoch,train_loss,val_loss,accuracy,lr,time_seconds
6,4.309252787119279,4.32700951769948,44.32933897626006,0.0001810020955356,7019.863721847534
7,4.26901700618305,4.267767012119293,44.969062161697096,0.0001675753781478,7004.871582269669
8,4.233041079500122,4.233358401805162,45.53472788969721,0.000156752412872,6984.23925447464
9,4.20174022946499,4.197953782975674,46.0288101040834,0.0001477875921456,6982.327154874802
10,4.174694408401271,4.1721014231443405,46.45654582832292,0.0001402036203276,6995.822785139084
11,4.1507357483788425,4.14211081340909,46.83510402893052,0.0001336789068592,7004.998684644699
12,4.128427985698807,4.118993781507015,47.19411298291714,0.0001279878091622,7003.392919540405
13,4.110106613966416,4.100235864520073,47.49749790615779,0.0001229667095442,6992.180989742279
14,4.092468952177275,4.08330324664712,47.79458903486605,0.0001184936862482,7005.264621257782
15,4.075906406832003,4.065771337598562,48.06223310549363,0.0001144757766312,7003.871639490128
16,4.061958454245703,4.04364326223731,48.30953993257882,0.0001108406941092,7008.662825107575
17,4.04876922848405,4.029922354966402,48.52267986472597,0.0001075312681009,7006.322694778442
18,4.0351951114815074,4.02602794021368,48.759449523676224,0.0001045016085813,7005.858777523041
19,4.023953577205881,3.9983746707439423,48.95296283482768,0.0001017143967271,7004.8770179748535
20,4.013923474600564,3.9840608052909374,49.13928440146656,9.913893068058346e-05,7004.564274311066
21,4.001469422784505,3.9721109196543694,49.33323548868545,9.674968968322098e-05,7002.806529760361
22,3.9890386680495764,3.9633753523230553,49.514580661329774,9.45252615417484e-05,7002.145515680313
23,3.978494312430715,3.9568895511329174,49.6899761517924,9.244752954344724e-05,7000.7148694992065
24,3.96913843077819,3.9350970089435577,49.83965484350249,9.050104776782758e-05,6999.005310297012
25,3.9599673880206163,3.932095944881439,49.98906068873333,8.867255528736964e-05,6995.369775295258
