,epoch,train_loss,val_loss,accuracy,lr,time_seconds
0,1,5.420504006280392,4.933321990514461,31.352151609304528,0.0004433627764368,9486.939969301224
1,2,4.673421160870574,4.66370292426098,39.03175580761366,0.0003135048257441,9442.266490221024
2,3,4.510871474274013,4.523666223518462,41.2099055407525,0.0002559756183244,9474.41767525673
3,4,4.41801079654474,4.440853966083451,42.54955324748701,0.0002216813882184,9493.977595090866
4,5,4.351329852640094,4.376485318534459,43.54511507371528,0.0001982778613611,9523.479192018507
5,6,4.309252787119279,4.32700951769948,44.32933897626006,0.0001810020955356,7019.863721847534
6,7,4.26901700618305,4.267767012119293,44.969062161697096,0.0001675753781478,7004.871582269669
7,8,4.233041079500122,4.233358401805162,45.53472788969721,0.000156752412872,6984.23925447464
8,9,4.20174022946499,4.197953782975674,46.0288101040834,0.0001477875921456,6982.327154874802
9,10,4.174694408401271,4.1721014231443405,46.45654582832292,0.0001402036203276,6995.822785139084
10,11,4.1507357483788425,4.14211081340909,46.83510402893052,0.0001336789068592,7004.998684644699
11,12,4.128427985698807,4.118993781507015,47.19411298291714,0.0001279878091622,7003.392919540405
12,13,4.110106613966416,4.100235864520073,47.49749790615779,0.0001229667095442,6992.180989742279
13,14,4.092468952177275,4.08330324664712,47.79458903486605,0.0001184936862482,7005.264621257782
14,15,4.075906406832003,4.065771337598562,48.06223310549363,0.0001144757766312,7003.871639490128
